ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00387,0.00479,0.0131,0.02045,0.00364,0.00402,0.00843,0.00979,0.00375,0.00437,0.01022,0.01315
RW,0.08071,0.09871,0.11938,0.14051,0.13311,0.14753,0.14075,0.12061,0.10036,0.11809,0.12863,0.12849
R1,0.2284,0.30116,0.39133,0.49194,0.21759,0.25884,0.26152,0.23594,0.22261,0.27792,0.31213,0.31639
R2,0.03174,0.04401,0.07588,0.11832,0.02993,0.03759,0.05033,0.05646,0.03078,0.04047,0.06026,0.07581
R3,0.00843,0.0115,0.02439,0.03982,0.00796,0.00975,0.01594,0.01888,0.00818,0.01053,0.0192,0.02541
RL,0.18726,0.26605,0.35915,0.46201,0.17838,0.2285,0.24019,0.2215,0.18251,0.24543,0.28659,0.29706
RSU,0.05248,0.08553,0.1427,0.22374,0.04749,0.06541,0.0732,0.06984,0.04966,0.07372,0.09573,0.10441
RS,0.04453,0.08037,0.13936,0.22159,0.04014,0.06131,0.07128,0.06901,0.04205,0.06917,0.09331,0.10321


